destinationId,destinationName
1,Paris
2,Bali
3,Rome
4,New York City
5,Tokyo
6,Santorini
7,Barcelona
8,Machu Picchu
9,Sydney
10,Cairo
11,Rio de Janeiro
12,Prague
13,Istanbul
14,Vancouver
15,Bangkok
16,Cape Town
17,Budapest
18,Kyoto
19,Helsinki
20,Vienna
21,Reykjavik
22,Dubai
23,Cusco
24,Amsterdam
25,Venice
26,Moscow
27,Berlin
28,Petra
29,Dubrovnik
30,Edinburgh
31,San Francisco
32,Athens
33,Mexico City
34,Seoul
35,Los Angeles
36,Mumbai
37,Auckland
38,Lisbon
39,Barbados
40,Copenhagen
41,Oslo
42,Toronto
43,Olomouc
44,Krakow
45,Beijing
46,Brno
47,Melbourne
48,Warsaw
49,Honolulu
50,Marrakech
51,Miami
52,Casablanca
53,Amman
54,Frankfurt
55,Las Vegas
56,Bratislava
57,Marseille
58,Nice
59,Wroclaw
60,Munich
61,Ostrava
62,Tel Aviv
63,Haifa
64,Lyon
65,Bordeaux
66,Tuscany
67,Sicily
68,San Diego
69,Orlando
70,Chicago
71,New Orleans
72,Seattle
73,Boston
74,San Antonio
75,Dublin
76,Monaco
77,Pisa
78,Amalfi Coast
79,Košice
80,Gran Canaria
81,Osaka
82,Sapporo
83,Hiroshima
84,Fukuoka
85,Nagoya
86,Sendai
87,Kanazawa
88,Kobe
89,High Tatras
90,Shanghai
91,Guilin
92,Xi'an
93,Chengdu
94,Guangzhou
95,Hong Kong
96,Macau
97,Wuhan
98,Nanjing
99,Stockholm
100,Mykonos
101,Rhodes
102,Thessaloniki
103,Crete
104,Corfu
105,St. Petersburg
106,Madrid
107,Seville
108,Valencia
109,Granada
110,Jerusalem
111,Porto
112,Algarve
113,Sintra
114,Bergen
115,Stavanger
116,Aarhus
117,Kansas City
118,Washington D.C.
119,Gothenburg
120,Salzburg
121,Linz
122,Houston
123,Phoenix
124,Abu Dhabi
125,Dallas
126,Bern
127,Singapore
128,Atlanta
129,Canberra
130,Geneva
131,Adelaide
132,Zurich
133,Manchester
134,Denver
135,Baltimore
136,Philadelphia
137,Den Haag
138,Malmo
139,Basel
140,Glasgow
141,Tampere
142,Ottawa
143,Oulu
144,Rotterdam
145,Montreal
146,Bristol
147,Taipei
148,Cologne
149,Antwerp
150,Stuttgart
151,Hamburg
152,Espoo
153,Luxembourg
154,Belfast
155,Nottingham
156,EindHoven
157,Birmingham
158,Wellington
159,Liverpool
160,Zaragoza
161,Brussels
162,Dusseldorf
163,Málaga
164,Bilbao
165,Yokohama
166,Santander
167,Milan
168,Florence
169,Lille
170,Torino
171,Tallinn
172,Ljubljana
173,Riga
174,Sofia
175,Suzhou
176,Chongqing
177,Zagreb
178,Tianjin
179,Shenzhen
180,Bucharest
181,Shenyang
182,Guadalajara
183,Buenos Aires
184,Córdoba
185,Sao Paulo
186,Monterrey
187,Harbin
188,Brasilia
189,Kyiv
190,Jakarta
191,Lima
192,Durban
193,Johannesburg
194,New Delphi
195,Bangalore
196,Rabat
197,Hyderabat
198,Kharkiv
199,Odesa
200,Dnipro
201,Donetsk
202,Lviv
203,Minsk
