journeyId,destinationId,startDate,endDate
1,80,2015-07-13,2015-07-21
1,45,2015-07-21,2015-07-24
1,88,2015-07-24,2015-08-02
1,175,2015-08-02,2015-08-09
1,194,2015-08-09,2015-08-16
1,46,2015-08-16,2015-08-24
1,36,2015-08-24,2015-09-01
1,152,2015-09-01,2015-09-08
2,61,2015-09-16,2015-09-22
2,132,2015-09-22,2015-09-27
2,4,2015-09-27,2015-10-01
2,106,2015-10-01,2015-10-09
2,157,2015-10-09,2015-10-12
2,39,2015-10-12,2015-10-21
2,167,2015-10-21,2015-10-27
2,112,2015-10-27,2015-11-01
2,31,2015-11-01,2015-11-07
3,90,2019-11-11,2019-11-15
3,67,2019-11-15,2019-11-20
3,41,2019-11-20,2019-11-29
3,162,2019-11-29,2019-12-02
3,170,2019-12-02,2019-12-07
3,160,2019-12-07,2019-12-12
3,174,2019-12-12,2019-12-22
3,161,2019-12-22,2019-12-31
4,70,2010-04-29,2010-05-09
4,21,2010-05-09,2010-05-13
4,23,2010-05-13,2010-05-18
5,52,2010-05-18,2010-05-19
5,137,2010-05-19,2010-05-23
5,200,2010-05-23,2010-05-25
6,26,2014-04-08,2014-04-13
6,95,2014-04-13,2014-04-20
6,91,2014-04-20,2014-04-28
6,191,2014-04-28,2014-05-03
6,69,2014-05-03,2014-05-12
7,129,2017-04-03,2017-04-08
7,68,2017-04-08,2017-04-09
7,172,2017-04-09,2017-04-19
7,203,2017-04-19,2017-04-24
7,16,2017-04-24,2017-04-25
7,125,2017-04-25,2017-04-28
7,106,2017-04-28,2017-05-06
7,100,2017-05-06,2017-05-10
8,128,2013-06-03,2013-06-07
8,152,2013-06-07,2013-06-09
8,48,2013-06-09,2013-06-11
8,60,2013-06-11,2013-06-16
8,136,2013-06-16,2013-06-18
8,176,2013-06-18,2013-06-26
8,165,2013-06-26,2013-06-29
9,190,2011-10-30,2011-11-05
9,91,2011-11-05,2011-11-13
9,126,2011-11-13,2011-11-20
10,45,2011-11-23,2011-11-28
10,99,2011-11-28,2011-11-30
10,56,2011-11-30,2011-12-09
11,159,2011-05-11,2011-05-19
11,75,2011-05-19,2011-05-23
11,78,2011-05-23,2011-05-26
11,18,2011-05-26,2011-05-27
12,149,2011-02-23,2011-03-05
12,89,2011-03-05,2011-03-10
12,101,2011-03-10,2011-03-12
12,147,2011-03-12,2011-03-17
12,133,2011-03-17,2011-03-18
12,183,2011-03-18,2011-03-26
12,114,2011-03-26,2011-04-01
13,39,2022-09-18,2022-09-23
13,196,2022-09-23,2022-10-02
13,88,2022-10-02,2022-10-12
13,34,2022-10-12,2022-10-21
13,5,2022-10-21,2022-10-28
14,15,2014-06-13,2014-06-22
14,40,2014-06-22,2014-07-02
14,46,2014-07-02,2014-07-12
14,89,2014-07-12,2014-07-22
14,85,2014-07-22,2014-08-01
14,181,2014-08-01,2014-08-11
14,44,2014-08-11,2014-08-13
14,59,2014-08-13,2014-08-14
15,112,2021-02-27,2021-03-08
15,160,2021-03-08,2021-03-16
15,57,2021-03-16,2021-03-17
15,139,2021-03-17,2021-03-21
15,188,2021-03-21,2021-03-27
15,184,2021-03-27,2021-04-01
15,91,2021-04-01,2021-04-07
15,10,2021-04-07,2021-04-16
16,176,2016-03-22,2016-03-24
16,7,2016-03-24,2016-03-30
16,39,2016-03-30,2016-04-07
17,137,2018-05-03,2018-05-11
17,119,2018-05-11,2018-05-16
17,171,2018-05-16,2018-05-26
17,37,2018-05-26,2018-05-28
17,38,2018-05-28,2018-06-03
17,25,2018-06-03,2018-06-09
17,179,2018-06-09,2018-06-18
17,107,2018-06-18,2018-06-24
18,175,2016-01-14,2016-01-23
18,144,2016-01-23,2016-01-30
18,49,2016-01-30,2016-01-31
18,21,2016-01-31,2016-02-05
18,71,2016-02-05,2016-02-07
19,145,2012-04-05,2012-04-10
20,10,2015-07-21,2015-07-24
20,124,2015-07-24,2015-07-28
20,14,2015-07-28,2015-08-06
20,67,2015-08-06,2015-08-12
20,143,2015-08-12,2015-08-21
20,11,2015-08-21,2015-08-24
21,28,2009-10-16,2009-10-20
21,195,2009-10-20,2009-10-26
21,113,2009-10-26,2009-11-05
21,142,2009-11-05,2009-11-09
21,111,2009-11-09,2009-11-10
21,178,2009-11-10,2009-11-15
22,103,2018-09-17,2018-09-23
22,49,2018-09-23,2018-09-30
22,26,2018-09-30,2018-10-06
22,38,2018-10-06,2018-10-14
22,189,2018-10-14,2018-10-21
22,65,2018-10-21,2018-10-24
22,148,2018-10-24,2018-11-01
22,105,2018-11-01,2018-11-06
22,109,2018-11-06,2018-11-15
23,120,2009-02-08,2009-02-14
