destinationId,activityId
1,45
1,28
1,11
1,12
1,37
1,19
2,45
2,14
2,9
2,2
2,27
2,18
2,8
2,34
2,5
2,37
2,26
2,1
2,47
2,28
2,10
2,39
3,31
3,1
3,34
3,27
3,28
3,19
3,32
3,11
3,17
3,12
3,36
4,41
4,11
4,9
4,14
5,9
5,36
5,40
5,4
5,22
6,19
6,40
6,1
6,3
6,14
6,35
6,32
6,47
6,44
6,13
6,22
6,29
6,5
6,30
7,45
7,42
7,35
7,9
7,25
7,17
7,48
7,10
7,38
7,33
7,40
7,34
7,26
7,3
7,8
7,16
7,5
8,5
8,43
8,32
8,38
8,4
8,14
8,10
8,36
8,7
8,46
8,35
8,37
8,8
8,29
8,20
9,27
9,9
9,40
9,36
9,43
9,1
9,6
9,41
10,18
10,36
10,29
10,13
10,46
10,8
10,11
10,27
11,31
11,40
11,45
11,6
11,26
12,17
12,27
12,29
12,8
12,5
12,42
13,31
13,41
13,25
13,26
13,30
13,13
13,5
14,24
14,25
14,11
14,1
14,44
14,9
15,19
15,41
15,1
15,14
15,18
15,5
16,33
16,46
16,9
16,2
16,4
16,7
16,26
16,16
16,1
16,14
17,12
18,47
18,15
18,25
18,44
18,29
18,23
18,16
18,27
18,20
18,38
19,40
19,33
19,34
19,7
19,27
19,43
19,45
19,2
19,4
19,30
19,39
19,13
19,5
19,3
19,48
19,8
19,6
20,32
20,21
20,29
20,28
20,10
21,7
22,48
22,32
22,39
22,40
22,47
22,6
22,7
22,18
22,3
22,43
22,11
22,42
22,2
22,41
22,35
22,38
22,16
22,20
23,40
23,5
23,26
23,12
23,48
23,4
23,37
23,14
23,24
23,11
23,22
23,30
23,25
24,3
24,9
24,48
24,16
24,45
25,40
25,7
25,41
25,11
25,33
25,28
25,42
25,47
25,16
25,25
25,19
25,45
25,3
25,34
25,24
25,46
26,32
26,47
26,27
26,28
26,10
26,9
27,16
27,10
27,30
27,18
27,25
27,17
27,21
27,8
27,33
27,37
27,13
28,11
28,10
28,21
28,48
28,44
28,4
28,23
28,36
28,19
28,26
28,35
28,12
28,22
28,24
28,1
28,39
28,38
28,25
28,31
29,24
29,22
29,4
29,38
29,40
29,30
29,26
29,15
29,42
29,11
29,18
29,12
29,34
30,22
30,18
30,12
30,28
30,23
30,45
30,35
30,11
30,44
30,21
30,47
30,1
30,14
30,40
30,34
31,26
31,2
31,22
31,7
31,9
31,48
32,26
33,48
33,7
33,19
33,27
33,4
33,2
33,10
33,40
33,33
33,41
34,19
35,9
35,41
35,27
35,22
35,18
35,1
35,35
35,10
35,38
35,48
35,44
35,45
36,47
36,21
36,9
36,33
36,28
36,5
36,44
37,15
37,42
37,26
37,32
37,9
37,34
37,39
37,40
37,31
37,35
37,14
37,25
37,48
37,45
37,17
37,29
37,18
37,5
38,24
39,26
39,33
39,43
39,4
39,44
39,22
39,2
39,39
39,5
39,28
39,3
39,9
39,23
39,32
40,3
40,43
40,35
40,1
40,37
40,42
40,6
40,48
40,47
40,13
40,19
40,17
40,38
41,38
41,29
41,35
41,26
42,44
42,26
43,8
43,31
43,32
43,41
43,37
43,34
43,19
43,17
43,46
43,7
43,13
43,48
43,2
43,42
43,29
43,38
43,4
43,23
44,28
44,38
44,21
44,31
44,41
44,9
44,42
44,24
44,37
45,27
45,4
45,47
45,2
45,1
45,26
45,35
45,36
45,46
45,19
45,37
45,11
45,39
46,25
46,2
46,8
46,27
46,12
46,5
46,13
46,42
46,4
46,48
46,16
47,27
47,15
47,48
47,3
47,35
47,11
47,29
47,16
47,47
47,5
47,4
47,39
47,24
47,33
47,42
47,14
47,41
47,9
47,21
48,16
48,44
48,23
48,17
48,20
48,2
48,40
48,5
48,4
48,8
48,29
48,48
48,46
48,33
48,35
49,15
49,28
49,14
49,43
49,1
49,18
49,46
49,44
49,45
49,5
49,10
49,19
49,6
50,40
51,24
51,25
51,28
51,22
51,41
51,31
51,40
51,8
51,37
51,34
51,16
51,19
51,23
51,5
51,20
51,18
52,30
52,42
52,21
53,8
53,47
53,3
54,39
54,2
54,27
54,38
54,7
55,45
55,30
55,35
55,40
55,37
55,14
55,26
55,16
55,4
55,22
55,17
55,33
55,10
55,31
55,18
55,43
55,42
55,47
56,34
56,46
56,18
56,32
56,8
56,42
56,39
56,16
56,12
56,37
57,13
57,26
57,42
57,28
57,10
57,20
57,40
57,44
57,4
58,19
58,36
58,11
58,41
58,17
58,38
58,29
59,9
59,47
59,8
59,39
59,11
59,22
59,38
59,15
59,29
59,23
59,27
59,43
59,24
59,46
60,13
60,7
60,9
60,26
60,28
60,47
61,45
61,47
61,37
61,34
61,6
61,32
61,29
61,28
61,44
61,26
61,15
61,27
61,35
61,23
61,5
61,43
62,3
63,39
63,5
63,26
63,27
63,3
63,7
63,15
63,22
63,16
63,44
63,21
63,29
64,30
64,31
64,6
64,26
64,22
64,1
64,24
64,4
64,13
64,12
64,45
64,27
64,16
64,9
64,21
64,17
65,48
65,40
65,16
65,35
65,29
65,28
65,47
65,45
65,21
65,17
65,18
66,25
66,48
66,7
66,29
66,20
66,19
66,21
66,4
66,22
66,30
66,32
66,44
66,15
66,39
66,18
66,42
66,17
66,35
67,25
67,16
67,30
67,14
67,3
67,2
67,48
67,32
67,27
67,11
67,8
67,13
67,21
68,25
68,18
68,45
68,40
68,32
68,5
68,37
68,39
68,1
68,12
68,23
68,21
68,48
68,38
68,44
68,3
68,9
68,31
68,8
69,26
69,32
69,19
69,3
69,18
69,12
69,30
69,21
69,46
69,23
69,5
69,39
70,24
70,28
70,33
70,2
70,37
70,8
71,30
71,20
71,27
71,21
71,11
71,13
71,35
71,23
71,29
71,26
71,12
71,19
71,31
71,34
72,15
72,18
72,19
72,7
72,44
72,34
72,35
72,43
72,6
72,27
72,21
72,46
72,33
72,17
73,18
73,7
73,4
73,5
73,33
73,25
73,12
73,28
73,43
73,41
73,29
73,24
73,9
73,6
73,32
73,27
73,36
73,22
73,46
74,17
74,18
74,44
74,34
74,47
74,15
74,37
74,25
74,48
74,10
74,21
74,16
74,5
74,20
74,1
74,38
74,4
74,3
75,21
75,48
75,15
75,37
75,13
75,16
75,34
75,18
75,19
75,38
75,45
75,46
75,8
75,10
75,36
75,3
75,30
75,24
76,45
76,16
76,25
76,2
76,14
76,43
76,28
76,35
76,5
76,7
76,37
76,48
76,42
76,39
