userId,activityId
1,10
1,42
2,4
3,8
3,38
3,36
3,16
3,17
3,48
3,44
3,42
3,35
4,33
4,17
4,37
4,26
4,11
4,38
5,46
6,36
6,45
6,21
6,10
7,4
7,12
7,21
7,16
7,48
7,2
7,9
7,29
8,37
9,26
9,9
9,37
9,16
10,43
11,13
11,16
11,38
11,35
11,31
11,3
11,14
11,48
12,47
12,18
12,16
13,48
13,34
13,24
13,10
13,44
13,41
14,39
14,29
14,27
14,33
14,22
14,8
14,1
15,6
15,38
16,43
16,16
16,34
17,18
17,26
17,16
17,10
17,3
18,30
18,7
18,32
18,5
19,32
19,39
20,9
20,19
20,38
20,44
20,33
20,25
20,30
20,24
21,4
21,10
21,43
22,14
22,20
22,28
22,6
22,10
22,35
22,44
23,44
23,1
23,48
23,13
23,26
23,41
23,34
23,31
23,6
24,26
25,17
25,41
25,44
25,39
25,4
25,11
25,13
25,37
26,2
26,36
26,14
26,11
26,10
26,31
26,43
27,35
27,44
27,15
28,35
28,7
28,31
28,20
28,32
28,13
29,30
29,28
29,21
29,20
30,14
30,39
30,30
30,29
30,11
31,42
31,35
32,10
32,24
32,15
32,29
32,17
32,47
32,7
32,14
32,21
33,28
33,38
33,20
33,34
33,2
33,35
33,46
33,15
34,48
35,40
35,20
36,10
36,43
36,40
36,30
36,4
37,34
37,23
37,16
37,8
37,42
37,36
38,15
38,42
39,14
39,21
39,36
40,9
40,5
40,37
41,27
41,22
41,5
41,18
42,38
42,8
42,19
42,3
43,39
43,19
43,6
43,41
43,13
43,47
44,9
44,45
44,16
44,29
44,14
44,42
44,33
45,4
45,41
45,9
45,18
45,35
45,5
45,30
45,2
46,38
46,3
46,44
46,40
46,26
47,1
47,31
47,6
47,30
48,27
48,31
48,1
49,29
49,30
50,5
50,7
50,22
50,16
50,23
50,2
50,13
50,30
51,34
51,13
51,24
51,18
51,22
51,20
51,3
51,48
51,15
52,5
52,26
52,4
52,35
52,22
53,18
53,23
54,11
54,5
54,48
54,45
55,20
55,43
55,44
55,46
55,9
55,17
55,48
55,10
55,6
56,34
56,19
56,36
56,48
57,14
57,4
57,25
57,28
57,18
57,1
58,20
58,46
58,9
58,45
58,42
58,21
58,4
58,24
59,1
59,2
59,36
60,26
60,35
60,7
60,9
60,13
60,1
60,15
61,17
61,43
61,6
61,5
61,27
62,36
63,8
63,23
63,17
63,14
63,30
63,37
63,31
64,11
64,23
65,46
66,43
66,40
66,42
66,4
66,16
67,40
68,30
68,23
68,21
68,41
68,4
68,1
68,31
68,34
68,19
69,25
70,38
70,8
71,42
72,36
72,17
72,47
72,42
73,8
73,3
73,10
73,17
73,44
73,18
73,46
74,42
74,23
74,2
75,44
75,28
75,35
75,40
75,12
76,27
76,25
76,8
76,40
76,9
76,48
76,35
76,37
76,5
77,39
77,41
77,6
77,37
77,20
77,31
78,37
78,47
78,2
78,25
79,30
79,48
80,16
80,3
80,43
80,30
80,42
80,20
80,6
80,12
80,38
81,34
81,20
81,35
81,11
82,21
82,18
82,26
82,44
82,34
82,35
82,10
83,8
83,6
83,40
83,47
83,14
83,44
83,33
83,25
83,2
84,39
84,1
84,26
85,19
85,6
85,48
86,9
86,33
86,14
86,4
87,13
87,8
87,11
87,14
87,24
87,44
87,47
87,22
87,42
88,40
88,16
88,13
88,32
88,6
88,18
88,4
88,33
89,31
89,30
89,37
89,19
90,21
90,19
90,1
90,5
90,36
90,9
90,38
90,48
91,41
92,10
92,14
92,36
93,44
93,9
93,47
93,22
94,21
94,25
94,32
94,24
94,33
94,19
94,6
95,11
95,39
95,12
95,46
96,43
97,3
97,24
97,35
97,2
97,31
98,42
98,5
98,7
99,26
99,8
99,38
99,34
99,20
100,15
100,29
100,2
100,16
100,32
100,28
101,24
101,34
101,48
101,47
101,23
101,21
102,38
102,48
102,11
102,23
102,47
103,10
103,33
103,24
103,41
104,4
104,39
105,21
105,9
105,24
106,40
106,11
106,4
106,42
106,19
107,46
107,3
108,9
108,46
108,37
108,16
109,26
110,27
110,25
110,35
110,19
111,17
111,32
111,45
111,15
111,7
111,13
111,28
111,1
112,6
112,18
112,31
112,44
112,15
112,48
112,26
113,35
113,19
113,15
113,39
113,37
113,10
113,14
114,7
114,19
114,46
114,29
114,4
114,38
114,1
114,34
115,47
116,15
116,32
116,31
116,22
117,4
118,1
118,25
118,26
118,18
118,37
118,13
119,9
119,11
119,4
119,32
119,41
120,4
121,26
121,46
121,30
122,3
122,27
122,1
122,28
122,23
122,8
122,36
122,20
122,5
123,29
123,8
123,46
123,27
123,36
123,11
123,18
124,17
124,13
124,20
124,23
125,20
125,42
125,18
126,39
126,48
126,26
126,17
127,30
127,48
128,13
129,25
129,23
130,35
130,21
130,39
130,28
130,5
130,25
130,41
130,24
131,5
131,15
132,29
132,3
132,40
133,47
133,7
133,26
133,28
133,39
133,44
133,27
133,13
134,11
134,21
134,27
134,22
134,35
134,43
134,14
135,30
135,20
135,41
135,19
135,25
135,33
135,1
136,40
136,35
137,39
137,7
137,29
137,4
137,11
137,34
137,18
137,10
138,4
138,36
138,9
138,20
138,3
138,42
138,11
139,18
139,33
139,24
140,46
140,20
140,9
141,33
141,12
141,47
141,15
141,24
141,8
141,5
142,2
142,17
142,35
142,14
142,5
142,29
142,27
142,37
142,18
143,38
143,37
143,18
143,42
143,32
143,29
143,47
143,6
143,40
144,12
145,44
145,2
145,30
145,45
145,27
145,8
146,35
146,4
146,37
146,17
146,14
147,23
147,10
147,31
147,12
147,48
148,8
148,1
148,42
148,45
148,23
148,30
148,16
148,26
149,32
149,13
149,48
150,29
150,4
150,24
150,12
150,39
150,3
150,21
150,26
151,7
151,45
151,34
151,24
151,30
152,20
152,22
152,37
152,47
152,3
152,4
152,39
152,43
152,28
153,30
153,17
153,10
153,13
153,6
153,21
153,44
153,25
153,32
154,12
154,11
154,1
154,24
154,4
154,14
154,8
154,39
154,28
155,15
156,13
156,24
156,29
156,32
157,6
157,34
157,2
158,4
158,17
159,32
159,6
159,10
159,18
159,47
159,34
159,41
160,44
160,6
160,10
161,17
161,30
161,5
161,18
161,46
161,15
161,29
161,23
162,7
162,42
162,12
162,32
162,25
162,5
162,45
162,44
162,22
163,19
163,25
163,10
163,30
163,15
163,47
163,33
164,10
164,41
164,7
164,23
164,26
165,30
165,2
165,42
165,28
165,32
165,37
166,18
166,28
166,33
166,45
166,32
166,37
166,3
166,46
166,10
167,39
167,23
167,25
167,35
167,29
168,27
168,42
169,3
169,27
169,7
169,14
169,46
169,42
169,32
170,31
170,43
170,20
170,10
170,27
170,46
170,25
171,32
171,45
171,2
171,44
172,31
172,30
172,38
172,43
173,8
173,27
173,6
173,45
173,48
173,33
174,32
174,13
174,8
175,18
175,39
175,30
175,24
175,45
175,7
176,31
176,23
176,45
176,13
177,14
178,26
179,40
179,19
179,34
179,43
179,35
179,36
179,27
179,23
180,12
180,34
180,36
180,7
180,4
180,28
181,22
181,38
182,43
182,30
182,12
182,22
182,14
182,5
183,36
183,14
184,29
184,47
184,23
184,12
184,27
185,43
185,41
185,23
185,27
185,20
185,11
185,32
186,26
186,42
186,37
186,33
186,1
186,31
187,20
188,46
188,42
188,41
188,47
188,15
189,25
189,41
189,5
189,10
190,15
191,30
191,41
191,40
191,33
191,5
191,12
191,8
191,4
192,47
192,17
192,10
192,18
192,36
192,12
192,35
193,38
193,48
194,46
194,36
194,21
195,26
195,22
195,2
195,36
196,16
197,34
197,18
197,15
197,1
197,26
197,25
197,24
197,9
197,29
198,14
198,43
198,23
198,11
198,35
198,21
198,7
198,6
198,25
199,18
200,6
200,33
200,21
200,46
200,9
200,35
200,31
200,34
201,45
201,26
