source,dest,weight
10242835,10002767,0.398
10242835,10133239,0.522
10242835,10032579,0.398
10242835,10213381,0.301
10242835,10138913,0.301
10242835,10238493,0.222
10242835,10054821,0
10242835,10255761,0.097
10242835,10180893,0.522
10242835,1026887,0.522
10242835,10032459,0.398
10242835,10054543,0.097
10242835,10222875,0.522
10242835,10143845,0.155
10242835,10213475,0.398
10242835,10222883,0.699
10242835,10075299,0.398
10242835,10213525,0.222
10242835,10012733,0.699
10242835,10185927,0.522
10242835,10012877,0.522
10242835,10203285,0.222
10242835,10239259,0.522
10242835,10262137,0.222
10242835,1010437,0.398
10242835,1000712,0.398
10242835,10185487,0.522
10242835,10115295,0.522
10242835,10212893,0.522
10242835,10203321,0.301
10242835,10186247,0.398
10242835,10242407,0.398
10242835,10214773,0.301
10242835,10098663,0.699
10242835,10236101,0.398
10242835,10012845,0.222
10242835,10121943,0.155
10242835,10044833,0.398
10242835,10256969,0.398
10242835,10012883,0.222
10242835,10002785,0.301
10242835,10185337,0.222
10242835,10158463,0.097
10242835,10231567,0.398
10242835,10012799,100
10242835,10002195,0.522
10242835,10216005,0.155
10242835,10115285,0.522
10242835,10249417,0.522
10242835,10246473,0.222
10242835,10258213,0.301
10242835,10265133,0.398
10242835,10147697,0.301
10242835,10200191,0.155
10242835,10050975,0.155
10242835,1010483,0.301
10242835,10256463,0.398
10242835,10051893,0.398
10242835,10231999,0.522
10242835,10033775,0.522
10242835,10244285,0.301
10242835,10181189,1
10242835,10154517,0.398
10242835,10262307,0.222
10242835,10206633,0.301
10242835,10045765,0.155
10242835,10131623,0.699
10242835,10134625,100
10242835,10245075,0.398
10242835,10267849,0.398
10242835,10180899,0.222
10242835,10177951,0.398
10242835,10257545,1
10242835,10134195,0.522
10242835,10185307,0.222
10242835,10189473,0.522
10242835,10181701,0.398
10242835,10134653,0.398
10242835,10021555,0.398
10242835,10213937,0.097
10242835,10268397,0.046
10242835,10031529,0.155
10242835,10136759,0.522
10242835,10115017,0.522
10242835,10176743,0.522
10242835,10149279,0
10242835,10239511,0.699
10154379,10239257,0
10154379,10268499,0.222
10154379,10155393,0.222
10154379,10242639,0.522
10154379,10002181,0.522
10154379,10246449,0.398
10154379,10274509,100
10154379,10208777,0.398
10154379,10202495,0.699
10154379,10261989,0.398
10154379,10128157,0.155
10154379,10207253,0.398
10154379,10085973,0.699
10154379,10131617,0.522
10154379,10028995,0.301
10154379,10208751,0.398
10154379,10015151,0.398
10154379,10115339,0.522
10154379,10241697,0.398
10154379,10235643,100
10154379,10198195,0.222
10154379,10065539,0.699
10154379,10222637,0.398
10154379,10213443,0.222
10154379,10243943,0.398
10154379,10246451,0.522
10154379,10058459,1
10154379,10148719,0.699
10154379,10267899,0.222
10154379,10117259,0.522
