brandName,productId
DKNY,10017413
EthnoVogue,10016283
SPYKAR,10009781
Raymond,10015921
Parx,10017833
SHOWOFF,10014361
Parx,10017869
SPYKAR,10009695
Parx,10000571
DKNY,10017421
Kenneth Cole,10000911
Parx,10000245
Police,10001989
Vishudh,10016727
Parx,10017749
Being Human,1000795
Homesake,10003803
SEJ by Nisha Gupta,10012765
YAK YAK,10014413
PARFAIT,10013483
Michael Kors,10001265
HIGHLANDER,10004155
SEJ by Nisha Gupta,10012795
SPYKAR,10009723
JEWEL JUNCTION,10012853
ID,10006001
Story@home,10017377
Raymond,10015839
Gini and Jony,10003123
SEJ by Nisha Gupta,10012767
Sera,10013041
AccessHer,10014831
Parx,10017831
Alcis,10002713
ID,10006029
Difference of Opinion,10005903
Parx,10017781
Michael Kors,10002151
Tokyo Talkies,10015989
ANNA SUI,10001111
HIGHLANDER,10004151
her by invictus,10007705
ID,10006041
SPYKAR,10009621
SPYKAR,10009681
Soie,10017569
Lara Karen,10001251
Gini and Jony,10003199
Story@home,10017405
PARFAIT,10013687
Urban Dog,10015163
ahilya,1000710
PARFAIT,10013541
VASTRAMAY,10002833
Difference of Opinion,10005915
Campus Sutra,10002707
FIDO DIDO,10012433
MIAH Decor,10012699
JEWEL JUNCTION,10012851
Vishudh,10016755
Urban Dog,10015159
PARFAIT,10013655
SEJ by Nisha Gupta,10012821
ID,10006073
PARFAIT,10013491
SPYKAR,10009773
SPYKAR,10009643
Raymond,10015831
BuckleUp,10014675
Peter England,10012761
AIGNER,10001887
Gini and Jony,10003179
Homesake,10003821
Campus Sutra,10017017
MIAH Decor,10012721
Gini and Jony,10003341
SEJ by Nisha Gupta,10013417
Parx,10017923
PARFAIT,10013665
Parx,10017595
Lady Lyka,10000805
SEJ by Nisha Gupta,10012769
her by invictus,10007835
JEWEL JUNCTION,10012881
PARFAIT,10013617
her by invictus,10007811
DKNY,10017427
Parx,10017899
Story@home,10017369
Parx,10017671
her by invictus,10007595
Park Avenue,10004343
Roadster,10007683
her by invictus,10007801
U.S. Polo Assn. Denim Co.,10002181
SEJ by Nisha Gupta,10012783
Gini and Jony,10003387
Sweet Dreams,10004053
Kazo,10017211
Gini and Jony,10003299
PARFAIT,10013569
Parx,10017835
Parx,10017771
ID,10006019
Stylo Bug,10002825
PARFAIT,10013703
MIAH Decor,10012713
JEWEL JUNCTION,10012875
Tokyo Talkies,10015997
SEJ by Nisha Gupta,10012771
Sera,10013055
Gini and Jony,10003213
AccessHer,10014775
Bvlgari,10002337
ahilya,1000745
SPYKAR,10009685
FIDO DIDO,10012429
Parx,10017723
Parx,10017855
Sera,10013025
Bvlgari,10001211
ID,10006003
JEWEL JUNCTION,10012841
DKNY,10017423
Parx,10000599
Qraa Men,10002809
PARFAIT,10013641
Lady Lyka,10000657
Difference of Opinion,10005937
Michael Kors,10001573
Homesake,10003809
ID,10006069
Soie,10017501
GAS,10002079
Homesake,10003807
HIGHLANDER,10004165
WITH,10013269
ID,10006075
SPYKAR,10009637
ZUSH,10017093
Story@home,10017355
DKNY,10017447
Campus Sutra,10017013
Campus Sutra,10017053
Parx,10017599
JBN Creation,10002785
U.S. Polo Assn. Kids,1000905
Bvlgari,10001445
PARFAIT,10013603
PARFAIT,10013585
JEWEL JUNCTION,10012865
DKNY,10017417
DressBerry,1001423
Parx,10017719
BuckleUp,10014659
Gini and Jony,10003183
PARFAIT,10013567
Bvlgari,10001975
Parx,10017747
ColorPlus,10015929
Parx,10017913
HIGHLANDER,10004129
Parx,10012919
Tokyo Talkies,10015983
BuckleUp,10014677
SPYKAR,10009715
MIAH Decor,10012733
