Departure station (id);Departure station;Arrival station (id);Arrival station;Length;geo_point_2d
520;HARELBEKE;1212;WAREGEM;8.82800046018578;50.87442202665018, 3.3700840949611575
218;BRUXELL-LUX;227;BRUX-SCHUMAN;0.676257719003781;50.84147538861841, 4.376519137106536
1031;ST-D-BOVESSE;148;BEUZET;1.80135439586103;50.52718924715696, 4.7590287679432866
1131;TERNAT;378;ESSENE-LOMB;3.7037482330348896;50.87874586535031, 4.140346334825467
288;COUR-HEURE;147;BERZEE;2.31772383066874;50.29186025343689, 4.395707381474245
1058;SCHELLEBELLE;1068;SERSKAMP;3.44278611719614;50.994616153568415, 3.9406721162679967
1082;ST-JOR-WEERT;941;OUD-HEVERLEE;3.91492476229195;50.81885472666148, 4.6501577459877215
235;BURST;1130;TERHAGEN;1.75765399167621;50.904872764703995, 3.909108164558169
401;FLEMALLE-GDE;619;JEMEPPE-S-M;1.8992367711934202;50.612133151432445, 5.48924651016581
956;PEPINSTER;957;PEPINST-CITE;0.853194387849495;50.56685876469153, 5.806181143640225
877;LIERSESTWG;590;HOVE;1.89757846538772;51.16201484673867, 4.464834828391569
1021;RUISBROEK;759;LOT;3.37992084527007;50.77818963112536, 4.284333856944451
171;BLERET;991;REMICOURT;2.60685874144961;50.68197837644746, 5.303741539397302
1195;VISE;208;BRESSOUX;13.0097613364015;50.68343713359083, 5.663287782590265
819;MELSELE;58;ANTW-N'DOK'N;36.2720004391276;51.26876976864244, 4.307806098595592
1265;ZELE;319;DENDERMONDE;8.25105720206281;51.05056710586726, 4.083655104560933
58;ANTW-N'DOK'N;1278;ZWIJNDRECHT;36.9333251396287;51.26759557390354, 4.308464959035577
1278;ZWIJNDRECHT;1084;ST-MARIABURG;34.5186094345234;51.26751243216899, 4.3007889734052975
579;HONY;375;ESNEUX;1.1871316938918701;50.53501546504547, 5.572971639918472
1223;WAVRE;120;BASSE-WAVRE;1.46070967937092;50.720661436042356, 4.612882060226238
216;BRUX-CONGRES;215;BRUX-CENTRAL;0.8325454103390819;50.848697362078774, 4.3592700355656095
958;PERUWELZ;246;CALLENELLE;4.9561658557836;50.520528686367086, 3.5592275586425757
683;LANDELIES;585;HOURPES;3.60648077415765;50.372214157797785, 4.328257281991002
12;ACREN;710;LESSINES;2.3373919394454;50.72298158728837, 3.8416974908509918
1761;DELTA;826;MERODE;2.3689521624153898;50.82954356385478, 4.403173973122647
1186;VIJFHUIZEN;104;AALST-KERREB;3.07170162553244;50.946637116319515, 4.0035820056488065
