stationId,stationName
110,BAMBRUGGE
37,ANTWERPEN-C
1198,VIVILLE
1063,SCLESSIN
459,GERONSTERE
1842,MESSANCY
218,BRUXELL-LUX
1043,SART-BERNARD
1174,VELTEM
438,GEMBLOUX
908,NIMY
195,BOUSSU
643,KOKSIJDE
171,BLERET
1128,TEMSE
736,LIGNY
952,PAPIGNIES
1034,ST-GHISLAIN
1254,YVES-GOMEZEE
1076,ST-D-BOEKEL
673,LA LOUV-CTRE
348,EINE
630,KALMTHOUT
606,IZEGEM
153,BIERGES-WAL
579,HONY
648,KORTENBERG
683,LANDELIES
682,LANDEGEM
118,BAS-OHA
215,BRUX-CENTRAL
266,CHENEE
132,BEGIJNENDIJK
1973,GERMOIR
706,LEMBEEK
104,AALST-KERREB
894,NAMECHE
1262,ZEEBR-DORP
227,BRUX-SCHUMAN
1278,ZWIJNDRECHT
1242,WIJGMAAL
1229,WERVIK
277,COMBL-TOUR
1767,BOCKSTAEL
759,LOT
216,BRUX-CONGRES
114,BARVAUX
1009,RONET
281,COUILLET
291,COUVIN
848,MONS
707,LENS
335,DRONGEN
637,KIJKUIT
1979,TOUR-TAXIS
610,JAMBES-EST
375,ESNEUX
1843,EVERGEM
784,MANAGE
902,NEUFVILLES
634,KAP-O-D-BOS
406,FLOREFFE
365,EREMBODEGEM
1182,VIANE-MOERB
158,BINCHE
1839,NOORD'KEMPEN
421,FRAIPONT
877,LIERSESTWG
255,CHAP-DIEU
360,ENGHIEN
458,G'BERGEN
590,HOVE
585,HOURPES
809,MAZY
685,LANDSKOUTER
811,NEKKERSPOEL
708,LEOPOLDSBURG
996,RIVAGE
743,LISSEWEGE
1102,STATTE
1730,SINT-GILLIS
6,AALST
897,NATOYE
449,GENT-DAMP
412,FONTAINE-VAL
395,FAUX
619,JEMEPPE-S-M
1056,SCHELDEWIND
220,BRUXELL-MIDI
591,HUIZINGEN
995,RHISNES
567,HEVERLEE
160,BISSEGEM
583,HOURAING
951,PALISEUL
710,LESSINES
820,MENEN
1091,SLEIDINGE
157,BILZEN
210,BRUGGE
121,SILLY
201,BRACQUEGNIES
604,INGELMUNSTER
493,HAACHT
1079,RHODE-ST-G
901,NESSONVAUX
405,FLOREE
744,LOBBES
1231,ZOLDER
592,HUY
272,CINEY
247,CAMBRON-CAST
422,FRAMERIES
1067,SERAING
863,MORTSEL
380,ETTERBEEK
433,GASTUCHE
329,DINANT
632,KAPELLEN
539,HEIDE
724,LICHTERVELDE
1260,ZAVENTEM
1350,ZONHOVEN
336,DUFFEL
84,AYWAILLE
1213,WAREMME
1230,WESPEL-TILD
900,NEERWINDEN
320,DE PINTE
435,GEDINNE
899,NEERPELT
841,MOLLEM
1272,ZINGEM
318,DENDERLEEUW
326,DIEST
514,HAM-S-HEURE
1090,SINT-TRUIDEN
1180,VERVIERS-PAL
345,EDE
1255,YVOIR
133,BEIGNEE
1768,SIMONIS
563,HERZELE
832,MEVERG-ATTRE
540,HEIST
455,GENT-ST-P
510,HAMOIR
1274,ZOTTEGEM
446,GENLY
243,BERCHEM-ST-A
1048,SCHAERBEEK
1218,WATERLOO
862,MORLANWELZ
933,OPWIJK
12,ACREN
