destination_id,destination_name
1,Paris
2,Bali
3,Rome
4,New York City
5,Tokyo
6,Santorini
7,Barcelona
8,Machu Picchu
9,Sydney
10,Cairo
11,Rio de Janeiro
12,Prague
13,Istanbul
14,Vancouver
15,Bangkok
16,Cape Town
17,Budapest
18,Kyoto
19,Helsinki
20,Vienna
21,Reykjavik
22,Dubai
23,Cusco
24,Amsterdam
25,Venice
26,Moscow
27,Berlin
28,Petra
29,Dubrovnik
30,Edinburgh
31,San Francisco
32,Athens
33,Mexico City
34,Seoul
35,Los Angeles
36,Mumbai
37,Auckland
38,Lisbon
39,Barbados
40,Copenhagen
41,Oslo
42,Toronto
43,Olomouc
44,Krakow
45,Beijing
46,Brno
47,Melbourne
48,Warsaw
49,Honolulu
50,Marrakech
51,Miami
55,Las Vegas
57,Marseille
58,Nice
64,Lyon
65,Bordeaux
66,Tuscany
67,Sicily
68,San Diego
69,Orlando
70,Chicago
71,New Orleans
72,Seattle
73,Boston
74,San Antonio
76,Monaco
77,Pisa
81,Osaka
82,Sapporo
83,Hiroshima
84,Fukuoka
85,Nagoya
86,Sendai
87,Kanazawa
88,Kobe
90,Shanghai
91,Guilin
92,Xi'an
93,Chengdu
94,Guangzhou
95,Hong Kong
96,Macau
97,Wuhan
98,Nanjing
100,Mykonos
101,Rhodes
102,Thessaloniki
103,Crete
104,Corfu
106,Madrid
107,Seville
108,Valencia
109,Granada
111,Porto
112,Algarve
113,Sintra
99,Stockholm
105,St. Petersburg
75,Dublin
78,Amalfi Coast
79,Košice
80,Gran Canaria
110,Jerusalem
52,Casablanca
53,Amman
54,Frankfurt
56,Bratislava
89,High Tatras
59,Wroclaw
60,Munich
61,Krkonoše
62,Tel Aviv
63,Haifa
