destinationId,countryCode
1,FR
2,ID
3,IT
4,US
5,JP
6,GR
7,ES
8,PE
9,AU
10,EG
11,BR
12,CZ
13,TR
14,CA
15,TH
16,ZA
17,HU
18,JP
19,FI
20,AT
21,IS
22,AE
23,PE
24,NL
25,IT
26,RU
27,DE
28,JO
29,HR
30,GB
31,US
32,GR
33,MX
34,KR
35,US
36,IN
37,NZ
38,PT
39,BB
40,DK
41,NO
42,CA
43,CZ
44,PL
45,CN
46,CZ
47,AU
48,PL
49,US
50,MA
51,US
52,MA
53,JO
54,DE
55,US
56,SK
57,FR
58,FR
59,PL
60,DE
61,CZ
62,IL
63,IL
64,FR
65,FR
66,IT
67,IT
68,US
69,US
70,US
71,US
72,US
73,US
74,US
75,IE
76,MC
77,IT
78,IT
79,SK
80,ES
81,JP
82,JP
83,JP
84,JP
85,JP
86,JP
87,JP
88,JP
89,SK
90,CN
91,CN
92,CN
93,CN
94,CN
95,CN
96,MO
97,CN
98,CN
99,SE
100,GR
101,GR
102,GR
103,GR
104,GR
105,RU
106,ES
107,ES
108,ES
109,ES
110,IL
111,PT
112,PT
113,PT
114,NO
115,NO
116,DK
117,US
118,US
119,SE
120,AT
121,AT
122,US
123,US
124,AE
125,US
126,CH
127,SG
128,US
129,AU
130,CH
131,AU
132,CH
133,GB
134,US
135,US
136,US
137,NL
138,SE
139,CH
140,GB
141,FI
142,CA
143,FI
144,NL
145,CA
146,GB
147,TW
148,DE
149,BE
150,DE
151,DE
152,FI
153,LU
154,GB
155,GB
156,NL
157,GB
158,NZ
159,GB
160,ES
161,BE
162,DE
163,ES
164,ES
165,JP
166,ES
167,IT
168,IT
169,FR
170,IT
171,EE
172,SI
173,LV
174,BG
175,CN
176,CN
177,HR
178,CN
179,CN
180,RO
181,CN
182,MX
183,AR
184,AR
185,BR
186,MX
187,CN
188,BR
189,UA
190,ID
191,PE
192,ZA
193,ZA
194,IN
195,IN
196,MA
197,IN
198,UA
199,UA
200,UA
201,UA
202,UA
203,BY
