journeyId,destinationId,startDate,endDate
0,90,2008-10-22,2008-10-26
0,108,2008-10-26,2008-10-27
0,70,2008-10-27,2008-11-03
0,59,2008-11-03,2008-11-13
0,123,2008-11-13,2008-11-17
0,54,2008-11-17,2008-11-18
0,38,2008-11-18,2008-11-24
1,108,2009-08-06,2009-08-15
1,178,2009-08-15,2009-08-17
1,7,2009-08-17,2009-08-25
1,76,2009-08-25,2009-08-28
2,167,2008-04-01,2008-04-07
2,119,2008-04-07,2008-04-10
2,186,2008-04-10,2008-04-12
3,190,2012-01-06,2012-01-16
3,158,2012-01-16,2012-01-17
4,81,2008-07-29,2008-08-06
4,173,2008-08-06,2008-08-16
4,70,2008-08-16,2008-08-17
4,175,2008-08-17,2008-08-24
4,197,2008-08-24,2008-08-29
4,97,2008-08-29,2008-09-06
4,139,2008-09-06,2008-09-12
4,2,2008-09-12,2008-09-15
5,122,2015-07-22,2015-07-27
5,144,2015-07-27,2015-08-06
5,199,2015-08-06,2015-08-09
5,65,2015-08-09,2015-08-15
5,118,2015-08-15,2015-08-17
5,163,2015-08-17,2015-08-23
5,74,2015-08-23,2015-08-31
5,182,2015-08-31,2015-09-02
6,201,2018-08-15,2018-08-16
6,67,2018-08-16,2018-08-20
7,26,2021-07-27,2021-07-30
7,14,2021-07-30,2021-08-03
7,21,2021-08-03,2021-08-13
7,128,2021-08-13,2021-08-23
7,102,2021-08-23,2021-09-01
7,65,2021-09-01,2021-09-11
8,136,2011-02-11,2011-02-17
8,57,2011-02-17,2011-02-24
8,154,2011-02-24,2011-03-01
8,27,2011-03-01,2011-03-09
8,147,2011-03-09,2011-03-16
8,107,2011-03-16,2011-03-17
8,101,2011-03-17,2011-03-27
8,104,2011-03-27,2011-04-01
9,19,2014-04-22,2014-04-30
9,40,2014-04-30,2014-05-01
9,41,2014-05-01,2014-05-06
9,171,2014-05-06,2014-05-07
9,56,2014-05-07,2014-05-10
10,73,2018-07-27,2018-07-28
11,1,2010-11-23,2010-11-24
11,112,2010-11-24,2010-11-25
11,182,2010-11-25,2010-12-03
11,155,2010-12-03,2010-12-04
11,115,2010-12-04,2010-12-12
12,43,2012-12-05,2012-12-07
12,73,2012-12-07,2012-12-09
12,77,2012-12-09,2012-12-11
12,134,2012-12-11,2012-12-18
12,189,2012-12-18,2012-12-28
12,27,2012-12-28,2013-01-05
12,197,2013-01-05,2013-01-13
12,60,2013-01-13,2013-01-20
12,54,2013-01-20,2013-01-24
13,127,2020-11-17,2020-11-25
13,74,2020-11-25,2020-12-05
14,15,2010-07-03,2010-07-07
14,87,2010-07-07,2010-07-16
14,80,2010-07-16,2010-07-17
14,89,2010-07-17,2010-07-20
14,121,2010-07-20,2010-07-26
14,129,2010-07-26,2010-08-04
15,15,2019-07-03,2019-07-12
15,145,2019-07-12,2019-07-14
15,120,2019-07-14,2019-07-22
15,24,2019-07-22,2019-07-28
15,65,2019-07-28,2019-08-06
15,195,2019-08-06,2019-08-14
15,91,2019-08-14,2019-08-16
15,104,2019-08-16,2019-08-21
15,123,2019-08-21,2019-08-22
16,67,2010-10-31,2010-11-01
16,105,2010-11-01,2010-11-11
16,185,2010-11-11,2010-11-21
16,139,2010-11-21,2010-11-22
16,128,2010-11-22,2010-11-30
16,141,2010-11-30,2010-12-04
16,132,2010-12-04,2010-12-14
16,11,2010-12-14,2010-12-24
17,11,2020-09-15,2020-09-23
17,99,2020-09-23,2020-09-28
17,56,2020-09-28,2020-10-02
17,184,2020-10-02,2020-10-11
17,77,2020-10-11,2020-10-17
17,35,2020-10-17,2020-10-25
18,140,2013-12-25,2013-12-29
18,51,2013-12-29,2014-01-06
18,182,2014-01-06,2014-01-12
18,47,2014-01-12,2014-01-20
19,199,2015-06-06,2015-06-15
19,76,2015-06-15,2015-06-16
19,128,2015-06-16,2015-06-25
19,157,2015-06-25,2015-06-26
19,83,2015-06-26,2015-06-29
19,22,2015-06-29,2015-07-06
19,80,2015-07-06,2015-07-08
19,195,2015-07-08,2015-07-14
19,183,2015-07-14,2015-07-16
20,169,2015-09-19,2015-09-26
20,118,2015-09-26,2015-10-01
20,113,2015-10-01,2015-10-03
20,33,2015-10-03,2015-10-06
20,115,2015-10-06,2015-10-07
20,139,2015-10-07,2015-10-17
21,37,2012-03-31,2012-04-04
21,169,2012-04-04,2012-04-14
21,92,2012-04-14,2012-04-16
21,94,2012-04-16,2012-04-20
21,19,2012-04-20,2012-04-25
21,14,2012-04-25,2012-04-28
21,23,2012-04-28,2012-05-05
22,26,2018-07-15,2018-07-23
22,102,2018-07-23,2018-07-31
22,170,2018-07-31,2018-08-05
22,106,2018-08-05,2018-08-10
22,50,2018-08-10,2018-08-17
