destination_id,activity_id
1,1
1,2
1,3
1,5
1,11
1,16
2,4
2,5
2,6
2,11
2,15
3,1
3,2
3,7
3,12
3,19
4,2
4,3
4,6
4,14
4,18
4,20
5,1
5,3
5,5
5,13
5,16
6,2
6,4
6,6
6,16
7,1
7,3
7,8
7,11
8,2
8,7
8,9
8,11
8,13
8,15
9,1
9,5
9,6
9,14
9,18
9,19
10,2
10,3
10,7
10,12
10,16
11,4
11,6
11,10
11,13
11,16
12,1
12,2
12,5
12,11
12,15
13,3
13,6
13,9
13,12
13,16
13,17
14,2
14,4
14,7
14,8
14,10
15,1
15,5
15,10
15,11
15,14
15,17
16,4
16,6
16,9
16,12
16,18
17,2
17,3
17,7
17,8
17,13
18,1
18,2
18,6
18,15
18,19
19,3
19,4
19,8
19,12
19,17
20,2
20,5
20,7
20,13
20,18
21,1
21,4
21,9
21,11
21,16
22,3
22,6
22,10
22,14
22,19
23,2
23,4
23,8
23,15
24,1
24,3
24,7
24,13
24,20
25,4
25,5
25,10
25,12
25,16
26,3
26,6
26,9
26,11
26,17
27,2
27,4
27,8
27,15
28,1
28,5
28,10
28,13
28,19
29,2
29,3
29,7
29,12
29,16
30,3
30,4
30,8
30,14
30,17
31,1
31,5
31,10
31,11
31,15
32,2
32,6
32,9
32,13
32,18
33,1
33,3
33,7
33,12
33,16
34,3
34,4
34,8
34,15
35,2
35,5
35,10
35,13
35,19
36,4
36,6
36,8
36,15
37,1
37,2
37,7
37,14
37,20
38,3
38,5
38,8
38,12
38,17
39,2
39,4
39,10
39,13
39,19
40,1
40,5
40,7
40,15
41,3
41,4
41,8
41,12
41,16
42,2
42,6
42,9
42,11
42,17
43,1
43,5
43,7
43,13
43,20
44,4
44,6
44,10
44,14
44,18
45,3
45,5
45,8
45,15
46,2
46,4
46,9
46,11
46,16
47,1
47,3
47,7
47,12
47,17
48,2
48,5
48,10
48,13
48,19
49,4
49,6
49,8
49,15
50,3
50,5
50,9
50,12
50,18
51,2
51,4
51,8
55,7
57,1
57,6
58,3
58,6
58,9
64,2
64,5
64,8
65,8
65,9
66,3
66,5
66,7
67,2
67,6
67,9
68,3
68,7
69,1
69,4
69,6
69,9
70,3
70,7
71,7
71,8
72,1
72,5
72,9
73,3
73,4
74,4
74,6
74,9
76,1
76,2
76,7
77,7
77,8
78,1
78,4
78,9
79,3
79,6
80,4
80,6
80,7
81,5
81,6
82,3
82,6
83,2
83,5
83,9
84,4
84,5
85,3
85,4
85,6
86,4
86,5
87,2
87,5
88,2
88,5
88,9
90,5
90,6
90,9
91,6
91,7
91,9
92,5
92,7
93,5
93,7
94,6
94,7
95,4
96,1
96,2
97,4
97,6
98,4
98,7
98,9
99,3
99,4
99,5
100,4
100,5
101,6
101,7
102,1
102,2
103,2
103,6
104,2
104,3
104,8
105,6
105,8
106,1
106,11
107,7
107,16
108,4
108,12
109,5
109,12
110,9
110,14
111,3
111,13
112,1
112,14
113,8
113,15
