userId,ratingId,journeyId
1,1,71
50,2,93
23,3,88
23,4,88
34,5,99
54,6,80
13,7,65
32,8,107
26,9,36
43,10,60
11,11,58
39,12,72
43,13,33
24,14,90
43,15,60
56,16,106
32,17,62
1,18,29
25,19,64
23,20,77
26,21,7
5,22,47
28,23,52
48,24,111
5,25,58
4,26,46
24,27,90
48,28,82
47,29,100
24,30,54
37,31,39
32,32,59
5,33,41
42,34,35
27,35,15
14,36,115
18,37,40
58,38,56
56,39,17
57,40,13
5,41,41
2,42,15
30,43,64
9,44,49
53,45,92
5,46,84
37,47,114
3,48,5
57,49,42
27,50,106
50,51,116
39,52,36
40,53,29
28,54,3
11,55,58
46,56,58
49,57,74
52,58,36
58,59,44
47,60,48
59,61,7
31,62,37
53,63,112
44,64,34
12,65,82
3,66,5
22,67,49
3,68,100
37,69,33
13,70,10
20,71,95
25,72,64
57,73,42
40,74,29
18,75,40
53,76,83
53,77,83
53,78,83
56,79,98
19,80,103
43,81,117
4,82,46
15,83,34
54,84,90
18,85,10
17,86,105
54,87,103
43,88,68
36,89,38
43,90,117
30,91,68
11,92,56
6,93,8
44,94,9
52,95,35
18,96,54
49,97,17
25,98,89
5,99,48
8,100,72
32,101,107
17,102,45
57,103,42
46,104,50
34,105,116
54,106,5
55,107,31
55,108,2
23,109,88
12,110,45
36,111,70
2,112,57
17,113,2
57,114,114
27,115,106
4,116,50
36,117,33
37,118,33
12,119,41
26,120,12
13,121,75
5,122,112
50,123,64
56,124,98
20,125,65
23,126,36
24,127,81
26,128,100
47,129,95
29,130,26
2,131,95
54,132,41
47,133,102
56,134,45
19,135,16
29,136,30
30,137,64
9,138,29
22,139,6
32,140,51
43,141,90
5,142,110
38,143,32
22,144,105
34,145,99
