Departure station (id);Departure station;Arrival station (id);Arrival station;Length
520;HARELBEKE;1212;WAREGEM;8.82800046018578
218;BRUXELL-LUX;227;BRUX-SCHUMAN;0.676257719003781
1031;ST-D-BOVESSE;148;BEUZET;1.80135439586103
1131;TERNAT;378;ESSENE-LOMB;3.7037482330348896
288;COUR-HEURE;147;BERZEE;2.31772383066874
1058;SCHELLEBELLE;1068;SERSKAMP;3.44278611719614
1082;ST-JOR-WEERT;941;OUD-HEVERLEE;3.91492476229195
235;BURST;1130;TERHAGEN;1.75765399167621
401;FLEMALLE-GDE;619;JEMEPPE-S-M;1.8992367711934202
956;PEPINSTER;957;PEPINST-CITE;0.853194387849495
877;LIERSESTWG;590;HOVE;1.89757846538772
1021;RUISBROEK;759;LOT;3.37992084527007
171;BLERET;991;REMICOURT;2.60685874144961
1195;VISE;208;BRESSOUX;13.0097613364015
819;MELSELE;58;ANTW-N'DOK'N;36.2720004391276
1265;ZELE;319;DENDERMONDE;8.25105720206281
58;ANTW-N'DOK'N;1278;ZWIJNDRECHT;36.9333251396287
1278;ZWIJNDRECHT;1084;ST-MARIABURG;34.5186094345234
579;HONY;375;ESNEUX;1.1871316938918701
1223;WAVRE;120;BASSE-WAVRE;1.46070967937092
216;BRUX-CONGRES;215;BRUX-CENTRAL;0.8325454103390819
958;PERUWELZ;246;CALLENELLE;4.9561658557836
683;LANDELIES;585;HOURPES;3.60648077415765
12;ACREN;710;LESSINES;2.3373919394454
1761;DELTA;826;MERODE;2.3689521624153898
1186;VIJFHUIZEN;104;AALST-KERREB;3.07170162553244
654;KWATRECHT;1234;WETTEREN;3.6012854088346997
814;MELKOUWEN;541;HEIST-BERG;3.59507362650207
862;MORLANWELZ;250;CARNIERES;1.73800818594006
218;BRUXELL-LUX;1973;GERMOIR;0.96288367055149
347;EICHEM;67;APPELTERRE;1.92040581342835
801;MARLOIE;788;MARCHE-FAM;3.14992625492155
519;HARCHIES;169;BLATON;3.5726006816179403
405;FLOREE;75;ASSESSE;2.87159718009464
710;LESSINES;12;ACREN;2.3373919394454
1087;ST-M-BODEGEM;328;DILBEEK;2.76324682227273
378;ESSENE-LOMB;1131;TERNAT;3.7037482330348896
540;HEIST;212;BRUGGE-ST-P;15.188696942557801
289;COURT-ST-ET;395;FAUX;3.04873913071683
366;ERNAGE;261;CHASTRE;2.07162275597765
249;CARLSBOURG;480;GRAIDE;5.18020271234475
